Project,Latest Tag ID
abdera,abdera-1.1.3-RC2
accumulo,rel/1.10.2
activemq,activemq-5.17.2
airavata,airavata-0.19
ambari,release-2.7.6
ant,ANT_1.10.12_RC2
ant-antlibs-antunit,1_4_1_RC1
ant-antlibs-compress,1_5_RC3
ant-antlibs-dotnet,1_1
ant-antlibs-props,unknown
ant-ivy,2.5.0_Vote_RC1
ant-ivyde,2.3.0-rc1
any23,any23-2.7
apex-core,v3.7.0
archiva,archiva-2.2.9
aries,org.apache.aries.proxy-1.1.13
avro,release-1.11.1
axis-axis2-java-core,v1.8.2
beam,jupyterlab-sidepanel-v3.0.0
bigtop,rel/3.1.1
bookkeeper,release-4.15.2
brooklyn,rel/apache-brooklyn-1.0.0
bval,2.0.6
calcite,calcite-1.32.0
camel,camel-3.19.0
carbondata,apache-carbondata-2.3.0-rc2
cassandra,cassandra-3.0.28
cayenne,4.2.RC1
chainsaw,release_20060302
chemistry-opencmis,chemistry-opencmis-1.1.0
chukwa,chukwa-0.8.0
clerezza,jaxrs.rdf.providers-2.0.0
click,clickide-2.3.0.0
cloudstack,4.17.1.0
cocoon,cocoon-2.1
commons-bcel,rel/commons-bcel-6.6.0
commons-beanutils,commons-beanutils-1.9.4
commons-bsf,bsf-2.4.0
commons-chain,CHAIN_1_2
commons-cli,commons-cli-1.5.0
commons-codec,commons-codec-1.16-rc1
commons-collections,commons-collections-4.4-RC1
commons-compress,1.21-RC1
commons-configuration,commons-configuration-2.8.0-RC3
commons-crypto,commons-crypto-1.1.0-RC1
commons-csv,commons-csv-1.10.0-RC1
commons-daemon,commons-daemon-1.3.1
commons-dbcp,commons-dbcp-2.9.0-RC1
commons-dbutils,DBUTILS_1_8_RC2
commons-digester,DIGESTER3_3_2
commons-email,EMAIL_1_5
commons-exec,1.3
commons-fileupload,commons-fileupload-1.4
commons-functor,FUNCTOR_1_0_RC1
commons-geometry,commons-geometry-1.0-rc4
commons-imaging,commons-imaging-1.0-alpha3-RC2
commons-io,commons-io-2.11.0-RC1
commons-jci,1.1
commons-jcs,commons-jcs3-3.1-rc2
commons-jelly,commons-jelly-1.0.1
