Project Name,Mocking Framework,Used in # of Files
abdera,easymock,5
accumulo,easymock,130
accumulo,powermock,3
activemq,mockito,12
activemq,jmock,7
activemq,easymock,1
airavata,mockit,3
ambari,easymock,392
ambari,mockito,52
ambari,powermock,47
ambari,springframework,1
any23,mockito,5
apex-core,datatorrent,3
apex-core,mockito,4
apex-core,powermock,3
archiva,mockito,40
archiva,springframework,5
aries,mockito,25
aries,easymock,25
aries,jmock,2
avro,mockito,6
axis-axis2-java-core,mockito,4
axis-axis2-java-core,springframework,1
axis-axis2-java-core,mockejb,3
beam,mockito,317
beam,powermock,21
beam,client,7
beam,findify,2
beam,gax,1
beam,cloud,1
beam,confluent,2
beam,mockserver,2
bookkeeper,mockito,166
bookkeeper,powermock,22
bookkeeper,jmock,1
bval,mockito,1
calcite,mockito,1
camel,mockito,361
camel,wiremock,19
camel,gax,3
camel,fabric8,3
camel,mockwebserver,5
camel,mock_javamail,74
camel,opentracing,4
camel,springframework,1
camel,smock,2
camel,mockftpserver,1
carbondata,mockit,36
cassandra,mockito,13
cayenne,mockito,91
cayenne,mockrunner,7
cayenne,springframework,1
chemistry-opencmis,mockito,4
chukwa,springframework,1
clerezza,mockito,1
cloudstack,mockito,375
cloudstack,powermock,87
cloudstack,wiremock,3
cloudstack,juniper,6
cloudstack,cloud,3
cloudstack,streamer,1
cloudstack,springframework,1
cocoon,jmock,3
cocoon,easymock,2
commons-chain,mockito,1
commons-collections,easymock,4
commons-compress,mockito,1
commons-configuration,mockito,70
commons-csv,mockito,1
commons-dbcp,mockito,5
commons-dbutils,mockito,20
commons-email,easymock,1
commons-email,powermock,3
commons-io,mockito,7
commons-jxpath,mockrunner,1
commons-lang,easymock,6
commons-text,mockito,4
commons-vfs,mockito,2
continuum,mockito,27
creadur-rat,mockito,2
crunch,mockito,23
curator,mockito,8
cxf,easymock,172
cxf,ibm,1
cxf,mockito,22
cxf,springframework,3
cxf,opentracing,1
cxf,wiremock,6
deltaspike,mockito,2
directmemory,springframework,1
directory-kerby,mockito,1
drill,mockito,59
drill,mockwebserver,6
drill,wiremock,1
drill,mockit,3
empire-db,mockito,1
falcon,mockito,25
flink,mockito,216
flink,powermock,28
flink,confluent,3
flink,fabric8,4
flink,mockwebserver,2
flink,wiremock,1
flume,mockito,43
flume,wiremock,1
fluo-recipes,easymock,1
fluo,easymock,1
freemarker,springframework,1
freemarker,freemarker,1
geode,mockrunner,4
geode,mockito,928
geode,micrometer,1
geode,springframework,30
geronimo-specs,javax,4
geronimo-specs,mockobjects,4
giraph,mockito,18
groovy,jmock,3
harmony,tests,1
hbase,mockito,240
helix,mockito,52
hive,mockito,198
hive,powermock,17
hive,wiremock,2
hive,confluent,1
hop,mockito,263
hop,powermock,31
httpcomponents-client,mockito,49
httpcomponents-core,mockito,27
hudi,mockito,48
hudi,confluent,1
ignite,mockito,42
ignite,mockserver,2
iotdb,mockito,25
iotdb,powermock,2
isis,jmock,95
isis,mockito,13
isis,springframework,1
jackrabbit-oak,mockito,359
jackrabbit-oak,easymock,3
jackrabbit-oak,springframework,1
jackrabbit-oak,findify,1
jakarta-cactus,jmock,3
james-project,mockito,326
james-project,mockserver,5
jclouds,jclouds,155
jclouds,easymock,131
jclouds,mockwebserver,103
jena,mockito,4
jmeter,wiremock,7
jspwiki,mockito,7
jspwiki,sourceforge,10
karaf,easymock,40
knox,easymock,150
lens,mockito,24
lens,powermock,3
lenya,springframework,2
logging-log4j2,mockito,28
logging-log4j2,wiremock,2
logging-log4j2,springframework,13
mahout,easymock,20
mahout,mockito,1
manifoldcf,mockito,10
maven,mockito,13
metamodel,easymock,12
mina-sshd,mockito,36
mina-vysper,mockito,50
mina-vysper,easymock,3
mina,mockito,11
mrunit,mockito,4
mrunit,powermock,1
myfaces,easymock,28
myfaces,mockito,7
ode,jmock,3
ofbiz-framework,mockito,7
ofbiz-framework,springframework,1
ofbiz-framework,mockit,3
olingo-odata4,mockito,77
oltu,easymock,16
oltu,springframework,1
oodt,easymock,3
oodt,mockito,3
oozie,mockito,39
oozie,powermock,2
openjpa,jmock,6
openjpa,fabric8,1
openmeetings,mockito,9
opennlp,opennlp,8
opennlp,mockito,1
pdfbox,mockito,1
phoenix,mockito,36
pig,mockito,6
plc4x,mockito,43
polygene-java,mockito,1
polygene-java,easymock,1
portals-pluto,jmock,3
reef,mockito,6
servicemix,easymock,1
shindig,easymock,108
shindig,powermock,1
shiro,atunit,1
shiro,easymock,40
shiro,mockito,10
skywalking,mockito,47
skywalking,powermock,44
sling-org-apache-sling-models-impl,mockito,41
solr,mockito,38
solr,opentracing,1
solr,no,1
solr,mockwebserver,1
solr,adobe,4
spark,mockito,23
sqoop,mockito,28
storm,mockito,95
storm,jmock,1
storm,kafka,1
stratos,jclouds,6
stratos,squareup,5
stratos,easymock,5
struts,opensymphony,76
struts,mockobjects,61
struts,easymock,45
struts,mockito,4
struts,springframework,51
struts,jmock,8
syncope,mockito,34
syncope,springframework,2
syncope,wiremock,2
tajo,powermock,2
tapestry-5,easymock,28
tez,mockito,104
thrift,mockito,3
tika,mockito,4
tiles,easymock,67
tomcat,easymock,11
tomee,mockito,5
tomee,agical,1
tomee,opentracing,2
tomee,easymock,1
turbine-core,mockito,20
tuscany-sca-2.x,itest,1
whirr,mockito,11
wicket,mockito,22
wink,jmock,27
wink,springframework,154
ws-axiom,mockito,9
ws-axiom,springframework,1
xmlbeans,scomp,2
xmlgraphics-commons,mockito,6
xmlgraphics-fop,mockito,69
yetus,mockito,1
zeppelin,mockito,51
zeppelin,mockwebserver,1
zeppelin,mockrunner,2
zeppelin,powermock,3
zeppelin,fabric8,2
zookeeper,mockito,39
zookeeper,mockit,3
