project,model,r2,Formula,changes,slope
accumulo,polynomial,0.7502861948664006,-14.776224 * x^0 + 17.192939 * x^1 + -4.694896 * x^2 + 0.522110 * x^3 + -0.019625 * x^4,No Change,0.0
activemq,polynomial,0.7891972039798972,142.325449 * x^0 + -378.827453 * x^1 + 401.231019 * x^2 + -228.625685 * x^3 + 79.359694 * x^4 + -17.913414 * x^5 + 2.725909 * x^6 + -0.284414 * x^7 + 0.020359 * x^8 + -0.000982 * x^9 + 0.000030 * x^10 + -0.000001 * x^11 + 0.000000 * x^12,No Change,0.0
ambari,polynomial,0.7299816251058756,9.613636 * x^0 + 11.487762 * x^1 + -1.120629 * x^2,Decreasing,1.0
any23,polynomial,0.8658311499740168,-72.547187 * x^0 + 173.046030 * x^1 + -156.631964 * x^2 + 72.577739 * x^3 + -19.183286 * x^4 + 3.007945 * x^5 + -0.276575 * x^6 + 0.013763 * x^7 + -0.000286 * x^8,Increasing,0.09090909090909091
archiva,polynomial,0.7947288226911471,65.107967 * x^0 + -136.414903 * x^1 + 115.587131 * x^2 + -49.891527 * x^3 + 12.362172 * x^4 + -1.861267 * x^5 + 0.173015 * x^6 + -0.009692 * x^7 + 0.000300 * x^8 + -0.000004 * x^9,Decreasing,0.3125
aries,polynomial,0.8214285714285714,4.000000 * x^0 + -4.714286 * x^1 + 2.035714 * x^2 + -0.250000 * x^3,Decreasing,0.2
avro,polynomial,0.747724622686518,7.804150 * x^0 + -15.845166 * x^1 + 10.710414 * x^2 + -3.101986 * x^3 + 0.432000 * x^4 + -0.028466 * x^5 + 0.000712 * x^6,Increasing,0.07692307692307693
axis-axis2-java-core,polynomial,0.9083139083138455,-7.933329 * x^0 + 16.561810 * x^1 + -12.072046 * x^2 + 4.044113 * x^3 + -0.672436 * x^4 + 0.053974 * x^5 + -0.001667 * x^6,Increasing,0.1
bookkeeper,polynomial,0.8867095417165752,6.052747 * x^0 + -5.747325 * x^1 + 1.223147 * x^2 + -0.057001 * x^3,No Change,0.0
bval,polynomial,0.8866883116883119,-1.420635 * x^0 + 1.854016 * x^1 + -0.407287 * x^2 + 0.024411 * x^3,No Change,0.0
cassandra,polynomial,0.7684989649870962,4.096162 * x^0 + -5.801601 * x^1 + 2.458803 * x^2 + -0.425040 * x^3 + 0.031506 * x^4 + -0.000824 * x^5,No Change,0.0
cayenne,polynomial,0.7142859996086852,133.606863 * x^0 + -354.856794 * x^1 + 374.233227 * x^2 + -211.690342 * x^3 + 72.714409 * x^4 + -16.200035 * x^5 + 2.429227 * x^6 + -0.249592 * x^7 + 0.017595 * x^8 + -0.000836 * x^9 + 0.000026 * x^10 + -0.000000 * x^11 + 0.000000 * x^12,No Change,0.0
chemistry-opencmis,polynomial,0.8333333333333333,-0.714286 * x^0 + 0.952381 * x^1 + -0.119048 * x^2,No Change,0.0
clerezza,polynomial,0.7866161616161635,14.714286 * x^0 + -23.243939 * x^1 + 13.875000 * x^2 + -3.852273 * x^3 + 0.503788 * x^4 + -0.025000 * x^5,Decreasing,0.2857142857142857
cocoon,polynomial,0.7195455438292273,52.909091 * x^0 + -117.026458 * x^1 + 92.708752 * x^2 + -34.997458 * x^3 + 7.071675 * x^4 + -0.785703 * x^5 + 0.045261 * x^6 + -0.001056 * x^7,No Change,0.0
commons-collections,polynomial,0.7728417870339269,2.136364 * x^0 + -2.290404 * x^1 + 0.571096 * x^2 + -0.032440 * x^3,Increasing,0.2727272727272727
commons-compress,polynomial,0.768499478605249,11.647306 * x^0 + -24.381320 * x^1 + 18.208216 * x^2 + -6.564121 * x^3 + 1.283895 * x^4 + -0.142720 * x^5 + 0.008987 * x^6 + -0.000298 * x^7 + 0.000004 * x^8,No Change,0.0
commons-configuration,polynomial,0.7070045663038149,9.707722 * x^0 + -18.228609 * x^1 + 11.622318 * x^2 + -3.453943 * x^3 + 0.544251 * x^4 + -0.046621 * x^5 + 0.002045 * x^6 + -0.000036 * x^7,Increasing,0.0625
commons-csv,polynomial,0.8781825299573812,-20.635660 * x^0 + 45.123380 * x^1 + -35.512463 * x^2 + 13.409521 * x^3 + -2.690060 * x^4 + 0.293751 * x^5 + -0.016458 * x^6 + 0.000370 * x^7,No Change,0.0
commons-dbcp,exponential,0.7045631972075803,0.822975 * exp(0.109387 * x) + -1.199239,Increasing,0.21428571428571427
commons-dbutils,polynomial,0.7219662690250928,1.333333 * x^0 + -2.602953 * x^1 + 1.347028 * x^2 + -0.206488 * x^3 + 0.010198 * x^4,Increasing,0.3333333333333333
commons-email,polynomial,0.7737470862470742,-3.266667 * x^0 + 5.681748 * x^1 + -3.148310 * x^2 + 0.730012 * x^3 + -0.073601 * x^4 + 0.002692 * x^5,Increasing,0.2
commons-io,polynomial,0.709102564102551,1.151515 * x^0 + -2.224942 * x^1 + 1.396562 * x^2 + -0.366113 * x^3 + 0.041084 * x^4 + -0.001603 * x^5,Increasing,0.18181818181818182
