project,model,r2,Formula,changes,slope
accumulo,linear,0.7527490031359373,0.010937 * x + 0.016922,Increasing,0.008105369807497464
activemq,linear,0.8615205989015073,0.000397 * x + -0.001338,No Change,0.0003140210394096381
ambari,polynomial,0.8500292250211963,0.198508 * x^0 + 0.114839 * x^1 + -0.015898 * x^2 + 0.000666 * x^3,Increasing,0.014383021940499747
any23,polynomial,0.830601963430988,-0.105455 * x^0 + 0.149178 * x^1 + -0.038994 * x^2 + 0.004022 * x^3 + -0.000145 * x^4,Increasing,0.004545454545454546
archiva,polynomial,0.7584375786700681,-1.047851 * x^0 + 3.091813 * x^1 + -3.120728 * x^2 + 1.599659 * x^3 + -0.471510 * x^4 + 0.085564 * x^5 + -0.009877 * x^6 + 0.000727 * x^7 + -0.000033 * x^8 + 0.000001 * x^9 + -0.000000 * x^10,No Change,0.0016036438296091063
aries,linear,0.7500000000000264,-0.000052 * x + 0.066313,No Change,3.499348246389922e-05
avro,polynomial,0.747050219373194,-0.022775 * x^0 + 0.023277 * x^1 + -0.002949 * x^2 + 0.000108 * x^3,No Change,0.0013605442176870715
axis-axis2-java-core,linear,0.8800207392471262,0.000331 * x + -0.000865,No Change,0.00028320589068251816
bookkeeper,linear,0.8371776780140604,0.022788 * x + -0.073506,Increasing,0.015467625899280576
bval,polynomial,0.7142506866693448,0.007658 * x^0 + 0.000377 * x^1 + -0.000025 * x^2,No Change,8.640552995391998e-05
cassandra,exponential,0.7999560536434628,0.000076 * exp(0.286755 * x) + -0.000624,No Change,0.0004099200655872059
cayenne,linear,0.8266082287531024,0.003590 * x + -0.008205,Increasing,0.002558821693815138
chemistry-opencmis,linear,0.8049911999405381,0.003043 * x + 0.001551,Increasing,0.00268817204301075
clerezza,polynomial,0.7572437313513408,0.050950 * x^0 + -0.019463 * x^1 + 0.003987 * x^2 + -0.000257 * x^3,Decreasing,0.002216981132075463
cocoon,polynomial,1.0,-101.843977 * x^0 + 290.585615 * x^1 + -336.559336 * x^2 + 212.296124 * x^3 + -81.809618 * x^4 + 20.318951 * x^5 + -3.319225 * x^6 + 0.354355 * x^7 + -0.023786 * x^8 + 0.000911 * x^9 + -0.000015 * x^10,No Change,0.0014003967790874
commons-collections,polynomial,0.716082873175134,-0.008859 * x^0 + 0.004447 * x^1 + -0.000159 * x^2,No Change,0.001675743611227482
commons-compress,polynomial,0.8661034687798386,0.005829 * x^0 + -0.005333 * x^1 + 0.001040 * x^2 + -0.000042 * x^3,No Change,0.00028200789622108885
commons-configuration,logarithmic,0.7189584338610884,0.168148 * log(x) + -0.090791,Increasing,0.0203843913803145
commons-csv,polynomial,0.7555619399746717,-0.001645 * x^0 + -0.005110 * x^1 + 0.002726 * x^2 + -0.000171 * x^3,Increasing,0.002136752136752131
commons-dbcp,exponential,0.7189361741427387,0.053430 * exp(0.077143 * x) + -0.071493,Increasing,0.005050505050505047
commons-dbutils,linear,0.9030500073421268,0.055992 * x + -0.112427,Increasing,0.048309178743961345
commons-email,linear,0.7198896825804681,0.017203 * x + -0.047077,Increasing,0.011538461538461529
commons-io,polynomial,0.7861983983629711,-0.025624 * x^0 + 0.032302 * x^1 + -0.011216 * x^2 + 0.001388 * x^3 + -0.000054 * x^4,Increasing,0.0024407252440725165
commons-lang,polynomial,0.7161378178697964,-0.013041 * x^0 + 0.014801 * x^1 + -0.001580 * x^2 + 0.000052 * x^3,No Change,0.0016801075268817187
commons-text,exponential,0.7839600957329602,0.001438 * exp(0.521572 * x) + -0.006258,Increasing,0.0062111801242236
commons-vfs,polynomial,0.7362637362637359,-0.001812 * x^0 + 0.001689 * x^1 + -0.000378 * x^2 + 0.000023 * x^3,No Change,0.00045289855072463335
continuum,linear,0.7968366046702642,0.003413 * x + -0.007185,Increasing,0.002367797947908443
creadur-rat,linear,0.7047326714066464,0.005855 * x + -0.005718,Increasing,0.0040983606557377
crunch,polynomial,0.7181335799648259,0.183780 * x^0 + 0.020142 * x^1 + -0.007716 * x^2 + 0.000624 * x^3,No Change,0.00038314176245211114
curator,polynomial,0.7686675823972442,0.056914 * x^0 + 0.019222 * x^1 + -0.010281 * x^2 + 0.001679 * x^3 + -0.000112 * x^4 + 0.000003 * x^5,No Change,0.0010972612359550563
cxf,linear,0.7180023410329957,-0.001550 * x + 0.078256,No Change,0.001587015534115015
deltaspike,polynomial,0.7228713837189849,-0.001385 * x^0 + 0.001463 * x^1 + -0.000183 * x^2 + 0.000007 * x^3,No Change,0.00013592496941687858
directory-kerby,polynomial,0.783340362545966,-0.004015 * x^0 + 0.002920 * x^1 + -0.000195 * x^2,No Change,0.00060975609756097
drill,linear,0.7664741104723998,0.006062 * x + -0.001599,Increasing,0.004497979720972777
empire-db,exponential,0.9665742985137008,-0.000000 * exp(2.373210 * x) + 0.069387,Decreasing,0.0033587102552619817
falcon,linear,0.8382744547523895,0.006718 * x + 0.040418,Increasing,0.00523074640154325
flink,polynomial,0.8449460980514932,-0.014550 * x^0 + 0.037415 * x^1 + -0.002641 * x^2,No Change,0.0018365199419387306
flume,linear,0.8203816252986441,0.011899 * x + 0.056875,Increasing,0.010680279305966989
fluo,polynomial,0.9390582059229674,0.197433 * x^0 + -0.397952 * x^1 + 0.269796 * x^2 + -0.079044 * x^3 + 0.010436 * x^4 + -0.000510 * x^5,No Change,0.0018552875695732713
fluo-recipes,linear,0.7499999999999998,-0.000416 * x + 0.027443,No Change,0.00027720027720028043
geode,linear,0.8587711240616895,0.022189 * x + 0.022588,Increasing,0.020545054749794546
giraph,linear,0.8910757003419177,-0.057420 * x + 0.337174,Decreasing,0.04364468483461618
hbase,logarithmic,0.8043143648495918,0.019913 * log(x) + 0.068207,Increasing,0.0034358003108003058
hive,linear,0.7895561746686123,0.006471 * x + 0.015622,Increasing,0.007061551433389544
httpcomponents-client,logarithmic,0.836037598697371,0.110244 * log(x) + 0.057650,Increasing,0.023941068139963165
httpcomponents-core,polynomial,0.7926921132337077,-0.136561 * x^0 + 0.125464 * x^1 + -0.011339 * x^2,Increasing,0.011695906432748532
hudi,polynomial,0.8078130014862348,-0.688366 * x^0 + 1.779547 * x^1 + -1.470178 * x^2 + 0.589180 * x^3 + -0.127342 * x^4 + 0.015174 * x^5 + -0.000938 * x^6 + 0.000024 * x^7,No Change,0.0014299966744263399
ignite,linear,0.8652434276500274,0.000868 * x + -0.000609,No Change,0.0007123430914776273
iotdb,polynomial,0.8828347626956259,0.025464 * x^0 + 0.009172 * x^1 + -0.001891 * x^2,Decreasing,0.00219513379631878
isis,exponential,0.9768499285428753,0.000000 * exp(1.279398 * x) + 0.000622,Increasing,0.0025418146408523285
jackrabbit-oak,linear,0.7616550798552645,0.007830 * x + 0.002478,Increasing,0.0093969255265165
james-project,polynomial,0.7819120675720687,0.217202 * x^0 + -0.207881 * x^1 + 0.147714 * x^2 + -0.046253 * x^3 + 0.007149 * x^4 + -0.000536 * x^5 + 0.000016 * x^6,No Change,0.0016320072332730612
jclouds,logarithmic,0.7590342933892158,-0.016739 * log(x) + 0.099973,Decreasing,0.0037682887809418566
jena,logarithmic,0.7175459546604166,0.001066 * log(x) + -0.000136,No Change,0.00016401508938822143
karaf,linear,0.804602244684732,-0.009907 * x + 0.251016,Decreasing,0.007047648230427459
knox,linear,0.8059424463992007,0.019495 * x + 0.102681,Increasing,0.020984334814122044
lens,linear,0.7276770003390245,0.003834 * x + 0.078178,Increasing,0.0033055733504164003
logging-log4j2,polynomial,0.8142975864930244,-0.066942 * x^0 + 0.099112 * x^1 + -0.033350 * x^2 + 0.004868 * x^3 + -0.000324 * x^4 + 0.000008 * x^5,No Change,0.0019455252918287927
manifoldcf,linear,0.8106586349716584,0.001838 * x + 0.019804,No Change,0.0015591646492934092
maven,linear,0.7918542414216004,0.002058 * x + 0.002064,No Change,0.0014336357001355398
metamodel,linear,0.8206963173981608,0.002636 * x + 0.023065,No Change,0.0015514050650735245
mina,logarithmic,0.7142053450324499,-0.011295 * log(x) + 0.088635,No Change,0.001974419766399977
mina-sshd,polynomial,0.7208558365746318,-0.062478 * x^0 + 0.024271 * x^1 + -0.000774 * x^2,Increasing,0.006309148264984223
myfaces,polynomial,0.7456761057857406,-3.698790 * x^0 + 7.624362 * x^1 + -5.539828 * x^2 + 2.042037 * x^3 + -0.433108 * x^4 + 0.055932 * x^5 + -0.004467 * x^6 + 0.000215 * x^7 + -0.000006 * x^8 + 0.000000 * x^9,No Change,0.00132311342275755
