year,whirr,continuum,cayenne,jclouds,metamodel,any23,tez,qpid-proton,accumulo,hudi,geode,pdfbox,drill,axis-axis2-java-core,phoenix,giraph,avro,flink,parquet-mr,plc4x,turbine-core,lens,flume,cxf,james-project,calcite,openmeetings,pig,activemq,hbase,isis,mina,commons-configuration,commons-io,commons-dbutils,commons-dbcp,curator,mahout,commons-csv,jackrabbit-oak,ignite,thrift,skywalking,myfaces,zeppelin,crunch,struts,commons-lang,commons-collections,maven,lucene-solr,servicemix,oltu,xmlgraphics-commons,tika,olingo-odata4,syncope,archiva,falcon,yetus,shiro,sqoop,chemistry-opencmis,mrunit,httpcomponents-core,mina-sshd,storm,polygene-java,cassandra,clerezza,aries,fluo,wicket,ws-axiom,tiles,empire-db,xmlgraphics-fop,commons-compress,bval,karaf,fluo-recipes,commons-vfs,tajo,hive,sling-org-apache-sling-models-impl,solr,oodt,commons-email,reef,deltaspike,manifoldcf,felix,opennlp,beam,logging-log4j2,httpcomponents-client,cocoon,spark,ambari,tomee,iotdb,bookkeeper,tomcat,mina-vysper,stratos,directory-kerby,knox,oozie,shindig,commons-text,creadur-rat,jena,tapestry-5,ofbiz-framework,zookeeper
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.028037383,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038461538,,,0.067901235,,,,0,,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,,,0.025862069,,,,,,,,,,,,,,,,,,
2007,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,0,0,0,,,,,,,,0.375,,,0.064171123,0,0,,0.021052632,,,0,,,,,,,,,,,,,,,,,,,0.001582278,0,0.259259259,,0,,,,,0,,,,0.021052632,,0,,,,,,,,,0,,,,,,,,,,,,,,,,0.052083333,,
2008,,0,0,,,,,,,,,,,,,,,,,,0,,,0.086346863,,,,,0,,,,0,0,,,,,,,,,,0.033333333,,,0.060810811,0,0,,0,,,0,,,,0.126923077,,,,,,,,,,0.024390244,,,,,0.001422475,,0.538461538,,0,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.050734312,,
