year,aries,plc4x,chemistry-opencmis,jackrabbit-oak,lens,ws-axiom,activemq,commons-io,tajo,storm,knox,ambari,commons-vfs,struts,ignite,commons-configuration,httpcomponents-core,oozie,tez,jena,falcon,openmeetings,mina-sshd,flume,cassandra,fluo,curator,karaf,commons-text,commons-email,cayenne,tapestry-5,qpid-proton,ofbiz-framework,spark,james-project,mrunit,mina-vysper,hudi,crunch,servicemix,solr,isis,manifoldcf,stratos,xmlgraphics-commons,accumulo,commons-lang,phoenix,fluo-recipes,cocoon,any23,creadur-rat,parquet-mr,hive,polygene-java,opennlp,commons-collections,bval,avro,reef,metamodel,whirr,mina,deltaspike,drill,clerezza,sling-org-apache-sling-models-impl,maven,hbase,commons-dbutils,giraph,continuum,bookkeeper,jclouds,axis-axis2-java-core,geode,shiro,pdfbox,syncope,commons-csv,lucene-solr,iotdb,olingo-odata4,sqoop,archiva,httpcomponents-client,shindig,flink,commons-dbcp,myfaces,skywalking,cxf,oodt,directory-kerby,pig,commons-compress,beam
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,0.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,
2007,,,,,,0.0,0.0,0.0,,,,,0.0,3.0,,0.0,,,,,,,,,,,,,,0.0,0.0,3.0,,,,,,,,,,1.0,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,0.0,5.0,,,,,,,
2008,,,,,,,0.0,0.0,,,,,,5.0,,0.0,,,,,,,,,,,,,,,0.0,3.0,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,5.0,0.0,,,,1.0,,7.0,,,,,
2009,,,,,,,0.0,,,,,,,5.0,,,,,,,,,0.0,,,,,,,0.0,0.0,5.0,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,2.0,,0.0,,,,,,,,,,,3.0,,0.0,,0.0,,,,,,,,,0.0,,,,4.0,,,,0.0,4.0,,9.0,,,,0.0,
2009,,,,,,,0.0,,,,,,,5.0,,,,,,,,,0.0,,,,,,,0.0,0.0,5.0,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,2.0,,0.0,,,,,,,,,,,3.0,,0.0,,0.0,,,,,,,,,0.0,,,,4.0,,,,0.0,4.0,,9.0,,,,0.0,
2010,,,,,,,0.0,0.0,,,,,0.0,3.0,,,0.0,,,,,,0.0,,0.0,,,2.0,,0.0,0.0,2.0,,,0.0,,,0.0,,,,3.0,,,,0.0,,4.0,,,,,,,0.0,1.0,,,,0.0,,,,,,,,,1.0,7.0,,,0.0,,4.0,0.0,,3.0,,,,3.0,,,,,1.0,9.0,,0.0,4.0,,8.0,0.0,,0.0,,
2011,,,0.0,,,,0.0,0.0,,,,,0.0,3.0,,0.0,0.0,,,,,,0.0,,0.0,,1.0,9.0,,0.0,2.0,7.0,,,,,,3.0,,,,0.0,,,,,,5.0,,,0.0,,,,3.0,2.0,,0.0,,0.0,,,4.0,,,,,,1.0,11.0,3.0,,,0.0,16.0,0.0,,,,,,0.0,,,,4.0,3.0,11.0,,,,,9.0,0.0,,0.0,0.0,
2012,,,1.0,1.0,,,0.0,0.0,,,1.0,,,1.0,,1.0,4.0,1.0,,0.0,,,0.0,5.0,0.0,,1.0,7.0,,0.0,1.0,4.0,,,0.0,,0.0,,,5.0,,6.0,1.0,,,2.0,0.0,,,,,0.0,0.0,,0.0,2.0,0.0,,0.0,2.0,,,6.0,0.0,0.0,,,,0.0,9.0,3.0,2.0,,0.0,16.0,0.0,,3.0,,0.0,,6.0,,,0.0,2.0,3.0,5.0,,,,,8.0,3.0,,0.0,0.0,
2013,,,1.0,4.0,,0.0,1.0,,0.0,0.0,3.0,12.0,,3.0,,1.0,3.0,3.0,4.0,0.0,2.0,,0.0,4.0,0.0,,2.0,4.0,,2.0,2.0,4.0,2.0,,0.0,,3.0,,,2.0,,5.0,1.0,,0.0,,0.0,3.0,,,,1.0,0.0,,2.0,1.0,0.0,3.0,,1.0,,1.0,0.0,5.0,0.0,0.0,2.0,,2.0,0.0,2.0,8.0,3.0,0.0,13.0,,,2.0,,0.0,,5.0,,,0.0,1.0,5.0,4.0,2.0,,,,8.0,0.0,,0.0,0.0,
