file_path,method
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,mock
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,thenReturn
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,when
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,thenReturn
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,when
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,mock
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,thenReturn
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,when
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,thenReturn
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,when
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,mock
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,thenReturn
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,when
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,thenReturn
/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,when
