Project Name ,test file,classes,path
cassandra,DataOutputTest.java,DataOutputBufferSpy,cassandra/test/unit/org/apache/cassandra/io/util/DataOutputTest.java
cassandra,MockMessagingSpy.java,MockMessagingSpy,cassandra/test/unit/org/apache/cassandra/net/MockMessagingSpy.java
flink,ProcessPythonEnvironment.java,ProcessPythonEnvironment,flink/flink-python/src/main/java/org/apache/flink/python/env/process/ProcessPythonEnvironment.java
flink,ProcessPythonEnvironmentManager.java,ProcessPythonEnvironmentManager,flink/flink-python/src/main/java/org/apache/flink/python/env/process/ProcessPythonEnvironmentManager.java
flink,ProcessPythonEnvironmentManagerTest.java,ProcessPythonEnvironmentManagerTest,flink/flink-python/src/test/java/org/apache/flink/python/env/process/ProcessPythonEnvironmentManagerTest.java
flink,DispatcherCachedOperationsHandlerTest.java,TriggerSavepointSpyFunction,flink/flink-runtime/src/test/java/org/apache/flink/runtime/dispatcher/DispatcherCachedOperationsHandlerTest.java
freemarker,TemplateCacheTest.java,MockTemplateLoader,freemarker/src/test/java/freemarker/cache/TemplateCacheTest.java
freemarker,TemplateCacheTest.java,SpyingURLTemplateSource,freemarker/src/test/java/freemarker/cache/TemplateCacheTest.java
geode,IntegratedSecurityPeerAuthDistributedTest.java,SpySecurityManager,geode/geode-core/src/distributedTest/java/org/apache/geode/security/IntegratedSecurityPeerAuthDistributedTest.java
harmony,AbstractMemorySpy.java,AbstractMemorySpy,harmony/classlib/modules/luni/src/main/java/org/apache/harmony/luni/platform/AbstractMemorySpy.java
harmony,DebugMemorySpy.java,DebugMemorySpy,harmony/classlib/modules/luni/src/main/java/org/apache/harmony/luni/platform/DebugMemorySpy.java
harmony,RuntimeMemorySpy.java,RuntimeMemorySpy,harmony/classlib/modules/luni/src/main/java/org/apache/harmony/luni/platform/RuntimeMemorySpy.java
logging-log4j2,SpyByteBufferDestination.java,SpyByteBufferDestination,logging-log4j2/log4j-core/src/test/java/org/apache/logging/log4j/core/layout/SpyByteBufferDestination.java
maven,AbstractEventSpy.java,AbstractEventSpy,maven/maven-core/src/main/java/org/apache/maven/eventspy/AbstractEventSpy.java
maven,EventSpyDispatcher.java,EventSpyDispatcher,maven/maven-core/src/main/java/org/apache/maven/eventspy/internal/EventSpyDispatcher.java
maven,EventSpyExecutionListener.java,EventSpyExecutionListener,maven/maven-core/src/main/java/org/apache/maven/eventspy/internal/EventSpyExecutionListener.java
maven,EventSpyRepositoryListener.java,EventSpyRepositoryListener,maven/maven-core/src/main/java/org/apache/maven/eventspy/internal/EventSpyRepositoryListener.java
maven,DefaultEventSpyContext.java,DefaultEventSpyContext,maven/maven-embedder/src/main/java/org/apache/maven/cli/event/DefaultEventSpyContext.java
parquet-mr,TestBoundaryOrder.java,SpyValueComparatorBuilder,parquet-mr/parquet-column/src/test/java/org/apache/parquet/internal/column/columnindex/TestBoundaryOrder.java
parquet-mr,TestBoundaryOrder.java,SpyValueComparator,parquet-mr/parquet-column/src/test/java/org/apache/parquet/internal/column/columnindex/TestBoundaryOrder.java
wicket,ComponentTest.java,SpyComponent,wicket/wicket-core/src/test/java/org/apache/wicket/ComponentTest.java
accumulo,DistributedReadWriteLockTest.java,MockQueueLock,accumulo/core/src/test/java/org/apache/accumulo/fate/zookeeper/DistributedReadWriteLockTest.java
accumulo,MergeStateIT.java,MockCurrentState,accumulo/test/src/main/java/org/apache/accumulo/test/manager/MergeStateIT.java
